cliente_id,primeiro_nome,ultimo_nome,email,telefone,segmento_rfm,data_primeira_compra,data_ultima_compra,total_compras,lifetime_value,permite_email,permite_sms,permite_push,status_ativo,data_criacao
12,Maria Helena,Moura,maria helena.moura958@bol.com.br,(11) 900000012,regular,2025-08-14,2026-04-29,3,683.13,True,False,False,True,2025-02-21 00:00:00+00:00
13,Maria,Abreu,maria.abreu411@bol.com.br,(94) 92814-8932,regular,2025-08-11,2026-05-17,2,1538.65,True,False,False,True,2025-05-05 00:00:00+00:00
14,Evelyn,Teixeira,evelyn.teixeira564@yahoo.com.br,(11) 900000014,regular,2025-12-10,2026-05-05,4,1245.87,True,True,False,True,2025-07-15 00:00:00+00:00
15,Danilo,da Costa,danilo.15@exemplo.com.br,(11) 900000015,regular,2025-07-29,2026-04-23,3,1978.48,True,False,True,True,2025-03-15 00:00:00+00:00
16,Vinícius,Moura,vinícius.moura511@outlook.com.br,(11) 900000016,novo,,,0,0.0,True,False,True,True,2026-04-07 00:00:00+00:00
17,Isaque,da Cruz,isaque.dacruz346@uol.com.br,(11) 900000017,regular,2025-09-15,2026-05-09,4,1023.0,True,True,True,True,2025-05-29 00:00:00+00:00
18,Diego,Santos,diego.santos298@gmail.com,(11) 900000018,regular,2026-02-01,2026-06-28,3,1973.25,True,False,True,True,2024-12-04 00:00:00+00:00
19,Paulo,Nogueira,paulo.nogueira208@yahoo.com.br,(86) 93763-1165,regular,2025-12-07,2026-04-16,3,1669.81,True,True,False,False,2025-06-13 00:00:00+00:00
20,Lavínia,Jesus,lavínia.jesus861@live.com,(11) 900000020,premium,2025-07-23,2026-06-14,18,9133.54,False,False,False,True,2025-01-26 00:00:00+00:00
21,Stella,Machado,stella.machado640@yahoo.com.br,(68) 92473-1781,dormant,2024-09-19,2024-09-19,1,92.15,True,False,True,True,2024-06-26 00:00:00+00:00
22,Carlos Eduardo,Rezende,carlos eduardo.rezende277@icloud.com,(11) 900000022,novo,,,0,0.0,True,True,False,True,2026-01-28 00:00:00+00:00
23,Dante,Cavalcante,dante.cavalcante512@outlook.com.br,(11) 900000023,dormant,2024-09-12,2024-09-12,1,473.21,True,False,False,True,2025-05-21 00:00:00+00:00
24,Mateus,da Rocha,mateus.darocha99@uol.com.br,(11) 900000024,regular,2025-10-23,2026-04-24,4,958.55,True,False,True,True,2025-05-29 00:00:00+00:00
25,Milena,Moura,milena.moura943@yahoo.com.br,(11) 900000025,premium,2024-08-30,2026-06-28,6,5304.13,True,True,False,True,2025-03-24 00:00:00+00:00
26,Isaque,Nunes,isaque.nunes921@uol.com.br,(11) 900000026,dormant,2025-11-27,2025-11-27,1,86.72,True,True,True,True,2025-06-16 00:00:00+00:00
27,Nicolas,Rios,nicolas.rios834@terra.com.br,(11) 900000027,regular,2025-10-31,2026-05-03,4,553.91,True,True,True,True,2025-08-02 00:00:00+00:00
28,Maria Cecília,Pinto,maria cecília.pinto444@hotmail.com,(11) 900000028,premium,2025-12-28,2026-06-23,12,12009.92,True,False,False,True,2024-12-22 00:00:00+00:00
29,Ester,da Paz,ester.dapaz370@yahoo.com.br,(74) 98498-0841,premium,2025-11-05,2026-06-07,23,12337.42,False,True,True,True,2024-07-25 00:00:00+00:00
30,João Felipe,da Luz,joão felipe.daluz513@hotmail.com,(11) 900000030,regular,2026-01-03,2026-06-29,3,640.81,True,False,False,True,2025-01-05 00:00:00+00:00
31,Vinícius,Montenegro,vinícius.montenegro435@live.com,(11) 900000031,premium,2025-11-16,2026-06-13,18,3193.39,True,True,False,True,2025-04-03 00:00:00+00:00
32,Vinicius,Castro,vinicius.castro289@live.com,(69) 98011-2805,regular,2026-03-23,2026-04-22,2,1097.76,False,False,False,True,2025-06-26 00:00:00+00:00
33,Juan,Lopes,juan.lopes516@yahoo.com.br,(11) 900000033,novo,,,0,0.0,True,False,False,True,2026-03-21 00:00:00+00:00
34,Joana,Pinto,joana.pinto380@yahoo.com.br,(11) 900000034,dormant,2024-11-01,2024-11-01,1,415.04,True,True,True,True,2024-10-11 00:00:00+00:00
35,Vitor,Castro,vitor.castro898@hotmail.com,,premium,2025-10-04,2026-06-22,22,10879.09,True,False,True,True,2024-05-14 00:00:00+00:00
36,Giovanna,,giovanna.andrade729@live.com,(11) 900000036,novo,,,0,0.0,True,True,True,True,2026-06-13 00:00:00+00:00
37,Isabelly,Farias,isabelly.farias96@bol.com.br,(11) 900000037,regular,2025-07-08,2026-05-06,3,1342.8,True,False,False,True,2025-09-21 00:00:00+00:00
38,Vicente,Cavalcanti,vicente.cavalcanti397@bol.com.br,(11) 900000038,regular,2025-08-12,2026-06-11,2,580.23,True,True,True,True,2025-07-20 00:00:00+00:00
39,Igor,Gomes,igor.gomes69@uol.com.br,(11) 900000039,regular,2026-02-08,2026-06-07,2,1330.55,True,False,False,True,2025-05-13 00:00:00+00:00
40,Davi Miguel,Rios,davi miguel.rios215@terra.com.br.br,(28) 91484-6564,regular,2026-01-16,2026-06-21,4,675.6,True,True,True,True,2025-07-22 00:00:00+00:00
41,José Miguel,Correia,josé miguel.correia795@outlook.com.br,(51) 92994-6804,regular,2025-11-17,2026-04-26,2,1269.99,True,True,True,True,2025-05-12 00:00:00+00:00
42,Allana,Costela,allana.costela182@outlook.com.br,(32) 97773-8721,premium,2025-11-24,2026-06-27,14,13782.61,False,False,False,True,2025-01-14 00:00:00+00:00
43,Alice,Moraes,alice.moraes1@terra.com.br,(11) 900000043,premium,2025-09-07,2026-06-24,21,3077.59,False,True,False,True,2025-05-09 00:00:00+00:00
44,Maria Laura,Pimenta,maria laura.pimenta229@hotmail.com,(81) 96936-7632,regular,2026-02-14,2026-05-12,4,1953.95,True,True,True,True,2025-09-20 00:00:00+00:00
45,Anthony,Sá,anthony.sá330@hotmail.com,(68) 93287-0831,dormant,2024-11-20,2024-11-20,1,450.62,True,False,False,True,2024-06-28 00:00:00+00:00
46,Maria Alice,Carvalho,maria alice.carvalho41@live.com,(31) 97986-8727,dormant,2025-08-10,2025-08-10,1,253.96,True,True,True,True,2024-12-17 00:00:00+00:00
47,Manuella,da Luz,manuella.daluz594@uol.com.br,(14) 98734-7143,novo,,,0,0.0,True,False,True,True,2026-02-16 00:00:00+00:00
48,Yago,Farias,yago.48@exemplo.com.br,(11) 900000048,regular,2026-01-29,2026-04-02,4,725.63,True,False,False,True,2024-12-25 00:00:00+00:00
49,Joana,Farias,joana.farias476@icloud.com,(84) 96036-6909,premium,2024-10-22,2026-06-07,9,14956.28,True,False,False,True,2024-04-04 00:00:00+00:00
50,Gabrielly,Mendes,gabrielly.mendes449@gmail.com,(43) 94668-8937,regular,2026-01-20,2026-05-22,3,1037.24,True,False,True,True,2025-05-03 00:00:00+00:00
51,Pedro Lucas,da Mata,pedro lucas.damata990@outlook.com.br,(89) 90656-2729,dormant,2025-03-05,2025-03-05,1,231.57,True,False,True,True,2024-12-11 00:00:00+00:00
52,Sophie,Alves,sophie.alves306@outlook.com.br,(11) 900000052,dormant,2024-10-24,2024-10-24,1,226.51,True,False,False,True,2024-04-15 00:00:00+00:00
53,Beatriz,Cunha,beatriz.cunha81@live.com,(33) 95646-4170,regular,2025-07-03,2026-04-07,3,1889.88,True,False,False,True,2025-07-27 00:00:00+00:00
54,Valentina,Aragão,valentina.aragão761@terra.com.br,(11) 900000054,regular,2026-03-25,2026-06-26,4,1100.45,True,True,False,True,2025-04-03 00:00:00+00:00
55,Rhavi,Cardoso,rhavi.cardoso789@live.com,(11) 900000055,dormant,2024-07-17,2024-07-17,1,175.37,True,False,False,True,2024-05-27 00:00:00+00:00
56,Ian,Vasconcelos,ian.vasconcelos923@yahoo.com.br,,premium,2025-05-08,2026-06-06,19,10162.71,True,False,False,True,2024-07-21 00:00:00+00:00
57,Ana Lívia,Caldeira,ana lívia.caldeira692@gmail.com,(27) 99663-1931,premium,2025-10-16,2026-06-06,18,10037.31,True,False,False,True,2024-06-15 00:00:00+00:00
58,Ana Julia,Rodrigues,ana julia.rodrigues751@hotmail.com,,novo,,,0,0.0,True,False,False,True,2026-01-18 00:00:00+00:00
59,Bryan,,bryan.ferreira953@icloud.com,(69) 95185-0671,regular,2026-03-08,2026-06-13,3,991.25,True,False,True,True,2025-09-21 00:00:00+00:00
60,Luana,Fonseca,luana.fonseca34@live.com,(11) 900000060,premium,2024-11-03,2026-06-25,12,7611.57,True,False,False,True,2024-02-04 00:00:00+00:00
61,Luiza,Siqueira,luiza.siqueira437@bol.com.br,(32) 93147-3799,regular,2025-12-11,2026-06-26,3,1048.04,True,True,False,False,2025-07-01 00:00:00+00:00
62,Gabrielly,Fernandes,gabrielly.fernandes6@gmail.com,(92) 95273-5454,dormant,2025-12-29,2025-12-29,1,486.26,True,False,True,True,2025-03-10 00:00:00+00:00
63,Yuri,Novais,yuri.novais435@gmail.com,(98) 93136-7837,dormant,2024-11-18,2024-11-18,1,142.28,True,False,True,True,2025-03-10 00:00:00+00:00
64,Mariane,Machado,mariane.machado550@gmail.com,(11) 900000064,dormant,2025-04-18,2025-04-18,1,119.46,True,False,False,True,2025-06-26 00:00:00+00:00
65,Sofia,Ferreira,sofia.65@exemplo.com.br,(34) 95744-4313,premium,2024-07-01,2026-06-07,15,8151.16,True,True,True,True,2024-05-13 00:00:00+00:00
66,Ana Vitória,Campos,ana vitória.campos137@icloud.com,(11) 900000066,premium,2025-03-12,2026-06-08,7,2864.45,True,True,False,True,2024-07-22 00:00:00+00:00
67,Guilherme,Correia,guilherme.correia379@bol.com.br,(11) 900000067,regular,2025-08-08,2026-05-19,3,1038.25,True,False,True,True,2025-07-07 00:00:00+00:00
68,Cauê,Novaes,cauê.novaes575@bol.com.br,(11) 900000068,dormant,2025-05-22,2025-05-22,1,154.5,True,False,False,True,2024-02-19 00:00:00+00:00
69,Carolina,Cirino,carolina.cirino179@gmail.com,(11) 900000069,regular,2025-08-14,2026-06-03,4,1817.94,True,False,False,True,2025-04-30 00:00:00+00:00
70,Kevin,Cassiano,kevin.cassiano522@bol.com.br,(11) 900000070,premium,2025-07-27,2026-06-15,14,6447.06,True,False,False,True,2024-11-20 00:00:00+00:00
71,Rebeca,Garcia,rebeca.garcia685@live.com,(75) 94964-9909,regular,2026-01-23,2026-06-10,4,1397.66,True,False,False,True,2025-09-23 00:00:00+00:00
72,Gael Henrique,Teixeira,gael henrique.teixeira218@uol.com.br,(11) 900000072,regular,2025-12-12,2026-05-01,3,651.19,True,False,True,True,2025-04-16 00:00:00+00:00
73,André,Jesus,andré.jesus604@live.com,(85) 94034-4713,dormant,2025-11-12,2025-11-12,1,81.01,True,True,True,True,2025-06-07 00:00:00+00:00
74,Vinícius,Viana,vinícius.viana420@uol.com.br,(68) 91832-4210,regular,2026-02-06,2026-05-21,2,998.22,True,True,False,True,2025-05-08 00:00:00+00:00
75,Lucas,Vieira,lucas.vieira244@bol.com.br,(17) 97174-6488,dormant,2024-12-12,2024-12-12,1,463.94,True,True,False,True,2024-12-08 00:00:00+00:00
76,Marina,Macedo,marina.macedo25@hotmail.com,(11) 900000076,novo,,,0,0.0,True,True,False,True,2026-03-29 00:00:00+00:00
77,Asafe,Teixeira,asafe.teixeira849@bol.com.br,(11) 900000077,regular,2026-01-29,2026-04-30,2,1335.96,True,False,False,True,2025-08-16 00:00:00+00:00
78,Mariane,Borges,mariane.78@exemplo.com.br,(42) 96551-2567,dormant,2025-03-22,2025-03-22,1,66.45,True,False,True,True,2025-02-12 00:00:00+00:00
79,Alícia,Ribeiro,alícia.ribeiro114@outlook.com.br,(11) 900000079,regular,2025-07-12,2026-06-01,4,732.86,True,False,False,True,2025-08-10 00:00:00+00:00
80,Alexandre,,alexandre.ribeiro476@icloud.com,(83) 96038-5977,regular,2025-07-29,2026-04-24,4,1488.39,False,False,True,True,2025-01-22 00:00:00+00:00
81,Cauã,Costela,cauã.costela418@bol.com.br,(11) 900000081,dormant,2025-03-20,2025-03-20,1,494.93,True,True,True,True,2025-03-08 00:00:00+00:00
82,Ana Lívia,Novaes,ana lívia.novaes978@gmail.com,,regular,2026-01-07,2026-06-11,4,1603.86,True,False,False,True,2025-06-14 00:00:00+00:00
83,Joana,Borges,joana.borges746@uol.com.br,(11) 900000083,dormant,2025-09-05,2025-09-05,1,213.38,True,False,True,True,2024-06-05 00:00:00+00:00
84,Maria Sophia,Melo,maria sophia.melo506@uol.com.br,(81) 98263-9821,novo,,,0,0.0,True,False,True,True,2026-01-24 00:00:00+00:00
85,Yuri,Vargas,yuri.vargas209@outlook.com.br,(38) 98404-4997,regular,2025-09-13,2026-06-08,3,1450.22,True,False,True,True,2025-02-11 00:00:00+00:00
86,Kaique,Machado,kaique.machado128@icloud.com,(88) 95588-6753,dormant,2025-11-29,2025-11-29,1,309.43,True,False,True,True,2025-06-19 00:00:00+00:00
87,Rhavi,Oliveira,rhavi.oliveira287@outlook.com.br.br,(11) 900000087,premium,2024-10-04,2026-06-20,12,5259.5,True,False,False,True,2024-05-31 00:00:00+00:00
88,Brayan,Cardoso,brayan.cardoso819@icloud.com,(34) 91718-7026,regular,2025-11-04,2026-06-19,4,868.02,True,True,True,True,2024-12-12 00:00:00+00:00
89,Leonardo,Barbosa,leonardo.barbosa664@live.com,(11) 95961-5865,novo,,,0,0.0,True,False,False,True,2026-03-10 00:00:00+00:00
90,Mariah,Nogueira,mariah.nogueira507@gmail.com,(11) 900000090,dormant,2025-08-01,2025-08-01,1,200.41,True,False,True,True,2024-04-12 00:00:00+00:00
91,Lucas Gabriel,Sales,lucas gabriel.sales39@bol.com.br,,dormant,2025-09-16,2025-09-16,1,84.99,True,False,False,True,2025-01-15 00:00:00+00:00
92,Benjamin,Aparecida,benjamin.aparecida17@terra.com.br,(11) 900000092,dormant,2025-12-21,2025-12-21,1,250.7,True,True,False,True,2024-08-22 00:00:00+00:00
93,Luiz Miguel,Cavalcante,luiz miguel.cavalcante200@yahoo.com.br,(11) 900000093,dormant,2024-08-31,2024-08-31,1,270.24,False,True,True,True,2024-01-15 00:00:00+00:00
94,Maria Eduarda,Porto,maria eduarda.porto782@bol.com.br,(82) 94074-8217,dormant,2024-08-22,2024-08-22,1,378.96,True,True,True,True,2024-03-16 00:00:00+00:00
95,Catarina,,catarina.pastor159@bol.com.br,(68) 94743-6713,dormant,2025-09-26,2025-09-26,1,302.3,True,False,True,True,2025-02-25 00:00:00+00:00
96,Giovanna,Oliveira,giovanna.oliveira349@terra.com.br,(19) 94064-0909,regular,2026-03-17,2026-05-19,2,1438.84,True,False,True,False,2025-06-18 00:00:00+00:00
97,Maysa,da Paz,maysa.dapaz416@uol.com.br.br,(43) 93394-2104,novo,,,0,0.0,True,False,True,True,2026-05-03 00:00:00+00:00
98,Lunna,Andrade,lunna.andrade440@terra.com.br,(11) 900000098,regular,2026-01-27,2026-05-12,2,1652.41,True,False,True,True,2025-10-01 00:00:00+00:00
99,Emanuelly,Moura,emanuelly.moura949@icloud.com,(13) 92474-5171,dormant,2025-01-23,2025-01-23,1,242.5,True,True,False,True,2025-02-16 00:00:00+00:00
100,João Miguel,Sá,joão miguel.sá344@uol.com.br,(61) 98516-0481,novo,,,0,0.0,True,True,False,True,2026-03-18 00:00:00+00:00
101,Maria,Freitas,maria.freitas243@bol.com.br,(51) 95137-0985,dormant,2025-05-21,2025-05-21,1,153.8,False,True,True,True,2024-11-30 00:00:00+00:00
102,Pedro Miguel,Ramos,pedro miguel.ramos521@hotmail.com,(83) 94612-0047,dormant,2024-08-30,2024-08-30,1,497.71,True,False,False,True,2024-05-13 00:00:00+00:00
103,Igor,Brito,igor.brito89@uol.com.br,(11) 900000103,regular,2025-07-09,2026-05-05,3,1790.19,True,True,True,True,2025-06-03 00:00:00+00:00
104,Gael Henrique,Mendonça,gael henrique.mendonça261@outlook.com.br,(15) 90537-7351,dormant,2025-08-31,2025-08-31,1,176.63,True,True,False,True,2025-05-29 00:00:00+00:00
105,Emilly,Nogueira,emilly.nogueira965@terra.com.br,(11) 900000105,regular,2025-08-21,2026-04-29,3,1242.72,True,False,True,True,2025-06-11 00:00:00+00:00
106,Asafe,Aragão,asafe.aragão147@terra.com.br.br,(11) 900000106,regular,2025-10-15,2026-06-17,2,736.01,True,False,False,True,2025-08-20 00:00:00+00:00
107,Ravi Lucca,Farias,ravi lucca.107@exemplo.com.br,(11) 900000107,regular,2025-10-24,2026-05-08,4,1738.73,True,False,False,True,2025-04-29 00:00:00+00:00
108,João,Albuquerque,joão.albuquerque525@terra.com.br,(11) 900000108,regular,2025-08-22,2026-05-01,2,1339.77,True,False,False,True,2025-04-24 00:00:00+00:00
109,Sara,Camargo,sara.109@exemplo.com.br,(86) 97589-1783,dormant,2025-06-20,2025-06-20,1,96.13,True,False,True,True,2024-03-09 00:00:00+00:00
110,Caio,Siqueira,caio.siqueira474@icloud.com,,dormant,2025-04-07,2025-04-07,1,433.59,True,False,False,True,2024-09-24 00:00:00+00:00
111,Ana Julia,Marques,ana julia.marques879@gmail.com,(11) 900000111,premium,2024-07-13,2026-06-28,23,5282.61,True,True,False,True,2024-05-02 00:00:00+00:00
112,Aurora,Pereira,aurora.pereira75@yahoo.com.br,(11) 900000112,regular,2026-01-08,2026-06-08,3,1659.23,True,True,False,True,2025-09-07 00:00:00+00:00
113,Sofia,da Rocha,sofia.darocha84@live.com,(95) 99611-8367,novo,,,0,0.0,True,False,True,True,2026-05-11 00:00:00+00:00
114,Rafael,Jesus,rafael.jesus792@terra.com.br,(81) 96615-6545,regular,2026-03-06,2026-04-19,4,1207.3,True,True,True,True,2025-08-05 00:00:00+00:00
115,Leandro,Rodrigues,leandro.rodrigues387@live.com,(11) 900000115,dormant,2024-07-15,2024-07-15,1,182.38,True,True,False,True,2024-06-23 00:00:00+00:00
116,Dante,Pastor,dante.pastor740@icloud.com,(34) 91656-0494,premium,2024-08-19,2026-06-09,20,8390.73,True,False,False,False,2024-06-15 00:00:00+00:00
117,Clarice,Caldeira,clarice.caldeira366@icloud.com,(11) 900000117,premium,2025-03-07,2026-06-05,10,5791.61,True,True,True,True,2025-03-26 00:00:00+00:00
118,Agatha,Oliveira,agatha.oliveira463@uol.com.br,(69) 98998-0940,premium,2025-05-05,2026-06-02,24,6498.22,True,True,False,True,2025-07-04 00:00:00+00:00
119,Luiz Miguel,da Mata,luiz miguel.damata166@bol.com.br,(37) 95022-9612,regular,2025-11-10,2026-05-17,3,1539.79,True,False,True,True,2024-12-03 00:00:00+00:00
120,Bento,Borges,bento.borges553@icloud.com,(11) 900000120,dormant,2025-02-18,2025-02-18,1,441.94,True,True,False,True,2025-04-13 00:00:00+00:00
121,Enzo Gabriel,Aragão,enzo gabriel.aragão410@yahoo.com.br,(11) 900000121,regular,2026-03-19,2026-04-16,4,1289.6,True,False,True,True,2025-09-22 00:00:00+00:00
122,Luísa,Leão,luísa.leão904@bol.com.br,(11) 900000122,novo,,,0,0.0,True,False,False,True,2026-02-22 00:00:00+00:00
123,Sara,Rios,sara.rios873@bol.com.br,(11) 900000123,regular,2025-12-30,2026-05-07,3,1104.89,True,False,True,True,2025-03-11 00:00:00+00:00
124,João Guilherme,Teixeira,joão guilherme.teixeira516@bol.com.br,(18) 95107-6226,dormant,2025-08-03,2025-08-03,1,395.48,False,False,False,True,2024-05-12 00:00:00+00:00
125,Sophia,Santos,sophia.santos755@uol.com.br,(94) 98516-0607,dormant,2025-04-09,2025-04-09,1,460.56,True,True,False,True,2024-11-11 00:00:00+00:00
126,Eduardo,Dias,eduardo.dias298@outlook.com.br,(63) 96416-0529,regular,2026-02-20,2026-04-29,3,1268.92,True,False,True,True,2025-06-15 00:00:00+00:00
127,Maria Clara,Sales,maria clara.sales28@terra.com.br,(11) 900000127,dormant,2024-10-10,2024-10-10,1,345.53,True,False,False,True,2024-05-08 00:00:00+00:00
128,Isabela,das Neves,isabela.dasneves592@terra.com.br,(11) 900000128,novo,,,0,0.0,True,False,False,True,2026-01-10 00:00:00+00:00
129,Cecília,Ferreira,cecília.ferreira886@yahoo.com.br,(11) 900000129,novo,,,0,0.0,True,False,False,True,2026-05-01 00:00:00+00:00
130,Luiz Gustavo,Vargas,luiz gustavo.130@exemplo.com.br,(83) 99979-9552,dormant,2025-02-02,2025-02-02,1,142.63,True,False,False,True,2024-02-11 00:00:00+00:00
131,Lunna,Azevedo,lunna.azevedo161@live.com,(75) 94490-5814,regular,2025-10-03,2026-04-03,3,1532.31,False,True,False,True,2025-01-26 00:00:00+00:00
132,Maria Eduarda,Machado,maria eduarda.machado178@gmail.com,(11) 900000132,regular,2025-11-27,2026-05-16,3,709.48,True,False,True,True,2024-11-30 00:00:00+00:00
133,Maria Eduarda,Pacheco,maria eduarda.pacheco352@icloud.com,(11) 900000133,premium,2025-06-23,2026-06-07,19,4302.95,True,False,False,True,2025-03-09 00:00:00+00:00
134,Davi,Machado,davi.machado588@hotmail.com,(38) 91820-3778,novo,,,0,0.0,True,False,False,True,2026-03-30 00:00:00+00:00
135,Rebeca,Pimenta,rebeca.pimenta602@yahoo.com.br,(46) 95466-5905,regular,2026-01-29,2026-04-18,3,1999.12,True,True,True,True,2025-04-26 00:00:00+00:00
136,Davi Lucca,Farias,davi lucca.farias381@hotmail.com.br,(53) 94492-5192,dormant,2025-12-14,2025-12-14,1,466.55,True,True,False,True,2024-04-08 00:00:00+00:00
137,Clara,das Neves,clara.dasneves455@outlook.com.br,,regular,2025-09-15,2026-06-15,4,1445.31,True,False,False,True,2025-07-03 00:00:00+00:00
138,José Pedro,Peixoto,josé pedro.peixoto622@hotmail.com,(27) 98652-8168,premium,2025-12-30,2026-06-09,6,8025.42,True,False,False,True,2024-08-12 00:00:00+00:00
139,Eloá,Almeida,eloá.almeida293@terra.com.br,(27) 92357-3322,regular,2026-03-12,2026-06-07,4,1091.55,False,False,True,True,2025-06-19 00:00:00+00:00
140,Eduardo,da Rocha,eduardo.darocha789@hotmail.com,(95) 98805-9296,novo,,,0,0.0,True,False,False,True,2026-01-19 00:00:00+00:00
141,Leandro,Castro,leandro.castro291@yahoo.com.br,(11) 900000141,regular,2025-11-07,2026-06-28,3,1415.5,True,False,False,True,2025-07-19 00:00:00+00:00
142,Manuela,da Conceição,manuela.daconceição583@icloud.com,(11) 900000142,regular,2026-02-25,2026-04-07,2,1350.97,True,False,False,True,2025-01-14 00:00:00+00:00
143,Giovanna,Montenegro,giovanna.montenegro277@icloud.com,(67) 92392-4075,premium,2025-12-23,2026-06-06,13,12318.67,True,True,True,True,2024-06-23 00:00:00+00:00
144,Gustavo,Silva,gustavo.silva664@icloud.com,(11) 900000144,regular,2025-11-07,2026-06-11,4,1501.32,True,False,False,True,2025-04-23 00:00:00+00:00
145,Fernando,Câmara,fernando.câmara661@live.com,(42) 90606-8536,novo,,,0,0.0,True,False,False,True,2026-06-25 00:00:00+00:00
146,Enrico,Freitas,enrico.freitas441@uol.com.br,(11) 900000146,regular,2025-07-13,2026-04-06,3,911.81,True,False,True,True,2025-05-11 00:00:00+00:00
147,João Lucas,Teixeira,joão lucas.teixeira531@live.com,(77) 99010-4328,novo,,,0,0.0,True,False,False,True,2026-04-12 00:00:00+00:00
148,Sarah,Lima,sarah.lima648@hotmail.com,(17) 93410-3697,novo,,,0,0.0,True,False,False,True,2026-03-11 00:00:00+00:00
149,Davi Lucas,Camargo,davi lucas.camargo149@live.com,(11) 900000149,dormant,2025-10-27,2025-10-27,1,316.77,True,False,False,True,2024-06-20 00:00:00+00:00
150,Clarice,da Costa,clarice.dacosta471@outlook.com.br,(11) 900000150,regular,2026-02-25,2026-04-22,3,1343.45,True,False,False,True,2024-12-21 00:00:00+00:00
151,Asafe,,asafe.151@exemplo.com.br,(11) 900000151,dormant,2024-07-09,2024-07-09,1,407.95,True,True,False,True,2024-11-11 00:00:00+00:00
152,Gustavo Henrique,Vargas,gustavo henrique.vargas286@terra.com.br,(11) 900000152,dormant,2024-10-03,2024-10-03,1,330.61,True,False,False,True,2025-01-26 00:00:00+00:00
153,João Gabriel,Azevedo,joão gabriel.azevedo749@live.com,(11) 900000153,premium,2024-10-10,2026-06-19,25,6502.18,True,True,True,True,2025-01-07 00:00:00+00:00
154,Isabella,Nogueira,isabella.nogueira316@live.com,(11) 900000154,dormant,2025-05-08,2025-05-08,1,143.83,True,False,True,True,2025-05-25 00:00:00+00:00
155,Emilly,Lopes,emilly.lopes7@outlook.com.br,(74) 96527-7584,dormant,2024-11-23,2024-11-23,1,86.41,True,True,False,True,2025-02-26 00:00:00+00:00
156,Enzo,Siqueira,enzo.siqueira289@outlook.com.br,(11) 900000156,dormant,2025-09-14,2025-09-14,1,269.18,True,False,False,True,2024-08-04 00:00:00+00:00
157,Beatriz,Ribeiro,beatriz.ribeiro392@bol.com.br,(24) 97962-7570,premium,2025-07-13,2026-06-02,8,3757.16,True,False,False,True,2025-06-24 00:00:00+00:00
158,Clarice,Pimenta,clarice.pimenta390@outlook.com.br,,regular,2026-02-01,2026-06-07,4,1429.38,True,True,False,True,2024-12-21 00:00:00+00:00
159,Yan,Porto,yan.porto56@gmail.com,(11) 900000159,novo,,,0,0.0,True,False,True,True,2026-03-24 00:00:00+00:00
160,Bernardo,Cardoso,bernardo.cardoso609@hotmail.com,(11) 900000160,regular,2025-12-22,2026-05-09,4,843.34,True,False,False,True,2025-02-25 00:00:00+00:00
161,Ester,Freitas,ester.freitas483@live.com,(11) 900000161,novo,,,0,0.0,True,False,False,True,2026-04-02 00:00:00+00:00
162,Ian,Alves,ian.alves405@yahoo.com.br,,regular,2026-01-27,2026-06-17,4,1373.22,True,False,False,True,2025-03-05 00:00:00+00:00
163,Melina,Moreira,melina.moreira497@outlook.com.br,(11) 900000163,premium,2025-07-03,2026-06-09,25,12976.64,True,False,True,True,2024-02-12 00:00:00+00:00
